year_id,Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,ASP
2017,Unverified Merchant,Guest,Home and Garden,73.75,2.44,1,73.75
2015,Very HIGH Volume,NEW,Automotive,78650.38,2090.57,1680,46.81570238
2015,LOW Volume,Casual Buyer,Automotive,95243.26,3460.24,2036,46.77959725
2016,MEDIUM Volume,Guest,Home and Garden,20617.46,761.81,5396,3.820878428
2016,HIGH Volume,One-and-Done,"Movies, Music and Games",4803059.16,160582.97,23455,204.7776235
2016,HIGH Volume,One-and-Done,Home and Garden,7639053.32,260398.39,130278,58.63655659
2014,Very LOW Volume,Low Engaged,Other,570.17,24.55,281,2.029074733
2016,Very LOW Volume,One-and-Done,Automotive,9814.52,277.84,161,60.95975155
2014,MEDIUM Volume,Super Engaged,Sports and Outdoors,20733354.01,751838.97,139536,148.5878484
2017,Very LOW Volume,Medium Engaged,Automotive,474318.2,13312.62,12719,37.29209844
2017,NEW,Very Engaged,Books,15651571.46,642527.84,452336,34.60164891
2015,HIGH Volume,Guest,"Movies, Music and Games",4595.1,131.3,2078,2.211308951
2015,MEDIUM Volume,Merchant,Sports and Outdoors,122594653.9,3873041.87,274166,447.1548402
2017,LOW Volume,Low Engaged,Clothing and Shoes,20281539.29,684247.7,120784,167.9157777
2017,Non Merchant,Guest,Clothing and Shoes,16624413.23,531147.49,67694,245.5817832
2017,Very HIGH Volume,NEW,Books,149340331.4,4455658.08,2539410,58.80906643
2016,Non Merchant,NEW,Automotive,2311814.27,69331.45,45870,50.39926466
2015,HIGH Volume,Very Engaged,Sports and Outdoors,24018050.44,834067.4,105112,228.4996046
2014,Unverified Merchant,Guest,"Movies, Music and Games",-195.59,28.6,24,-8.149583333
2014,Very HIGH Volume,One-and-Done,Clothing and Shoes,142136.04,4403.07,275,516.8583273
2015,MEDIUM Volume,Guest,Books,1128240.26,36621.75,64067,17.61031826
2015,NEW,NEW,Electronics and Computers,186229.1,6765.76,3315,56.17770739
2016,MEDIUM Volume,Guest,"Movies, Music and Games",212627.08,3410.48,7016,30.30602623
2017,Very LOW Volume,Very Engaged,Electronics and Computers,38386.85,1611.82,1756,21.86039294
2015,NEW,Very Engaged,Home and Garden,3155068.58,78133.51,41710,75.64297722
2015,Non Merchant,Very Engaged,Digital Games and Software,10984864.12,451088.75,309627,35.47773327
2017,HIGH Volume,Medium Engaged,"Movies, Music and Games",44082129.09,1520386.88,220576,199.8500702
2014,Very LOW Volume,Guest,Books,839179.46,30726.21,17538,47.84921086
2014,Very HIGH Volume,NEW,Books,186029680.5,5415390.11,2184582,85.15573253
2016,NEW,One-and-Done,Digital Games and Software,6110187.95,200700.93,80456,75.94446592
2014,Very LOW Volume,Medium Engaged,Automotive,5979.78,275.83,460,12.99952174
2016,Very LOW Volume,One-and-Done,Home and Garden,124646.73,4884.48,3664,34.01930404
2017,Very LOW Volume,Getting Engaged,Appstore,9824.66,380.14,298,32.96865772
2015,Very LOW Volume,Guest,"Movies, Music and Games",2353.95,76.09,2391,0.9845043915
2017,Very HIGH Volume,Very Engaged,Digital Games and Software,128843871.9,4623296.96,3397438,37.92383316
2016,Inactive Merchant,Casual Buyer,Digital Games and Software,16710.08,636.88,984,16.98178862
2016,Non Merchant,Medium Engaged,Clothing and Shoes,14726464.36,493007.51,84419,174.4449041
2014,NEW,Medium Engaged,Digital Games and Software,6345611.5,209693.26,116452,54.49121956
2017,Very LOW Volume,Medium Engaged,"Movies, Music and Games",4833758.24,125190.25,69393,69.6577211
2015,?,One-and-Done,Books,17660.36,567.03,139,127.0529496
2016,LOW Volume,Super Engaged,Sports and Outdoors,9440633.88,360122.32,117891,80.07934346
2015,HIGH Volume,Getting Engaged,Books,707463354.4,24134078,9675350,73.12018215
2015,Very LOW Volume,Very Engaged,Sports and Outdoors,494485.09,18208.79,6541,75.59778168
2015,LOW Volume,Casual Buyer,"Movies, Music and Games",32538488.42,1091111.59,188136,172.9519519
2016,Very HIGH Volume,Guest,Clothing and Shoes,783778.77,18871.07,2344,334.3766084
2014,Unverified Merchant,One-and-Done,Sports and Outdoors,179,5.49,1,179
2015,Inactive Merchant,Guest,Electronics and Computers,0,0,282450,0
2017,MEDIUM Volume,Guest,Electronics and Computers,379288533,11608663.94,5492165,69.05993047
2017,MEDIUM Volume,Medium Engaged,Sports and Outdoors,53189591.43,1935115.13,269965,197.0240269
2017,Very LOW Volume,Casual Buyer,Other,175.48,8.3,13,13.49846154
2016,?,Guest,Digital Games and Software,3929.57,264.71,148,26.55114865
2014,?,Guest,Books,15773.01,555.14,157,100.4650318
2014,MEDIUM Volume,Guest,Electronics and Computers,148447479.6,4642843.61,1947756,76.21461807
2017,NEW,Casual Buyer,Sports and Outdoors,3862385.25,121093.95,9031,427.6807939
2017,NEW,Very Engaged,Clothing and Shoes,1249018.67,42034.57,5287,236.2433649
2014,Inactive Merchant,Super Engaged,Home and Garden,0,0,3,0
2017,Inactive Merchant,Super Engaged,Automotive,204.42,8.33,8,25.5525
2014,NEW,Very Engaged,Books,21686591.09,857391.67,512584,42.30836524
2016,HIGH Volume,Low Engaged,Books,727650224.8,25166441.8,11635581,62.53664727
2016,Very HIGH Volume,Casual Buyer,Automotive,1098556.56,36561.16,161064,6.820621368
2015,MEDIUM Volume,Merchant,Digital Games and Software,115396435.9,4311779.04,1892937,60.96158291
2014,HIGH Volume,Casual Buyer,Automotive,16435.22,504.01,203,80.96167488
2015,Non Merchant,NEW,Clothing and Shoes,7748368.24,243659.16,35796,216.4590524
2014,Very LOW Volume,Casual Buyer,Other,130.6,6.14,886,0.1474040632
2014,HIGH Volume,Guest,"Movies, Music and Games",66672.58,2735.34,2347,28.40757563
2015,Very HIGH Volume,Very Engaged,Other,31810103.77,963528.92,2261630,14.06512284
2016,Inactive Merchant,One-and-Done,Automotive,0,0,2,0
2014,Very LOW Volume,Guest,Other,0,0,35,0
2017,?,Very Engaged,Electronics and Computers,187.65,8.78,9,20.85
2017,HIGH Volume,Medium Engaged,Home and Garden,134338163.5,4420721,2704696,49.66848899
2015,Non Merchant,Super Engaged,Digital Games and Software,8693074.15,367817.75,275857,31.51297284
2016,NEW,Guest,Electronics and Computers,793.02,29.19,124,6.395322581
2015,Inactive Merchant,One-and-Done,Books,3669.51,143.43,116,31.6337069
2017,Inactive Merchant,Very Engaged,Electronics and Computers,193.47,8.17,7,27.63857143
2016,Very LOW Volume,NEW,Automotive,39385.13,1451.22,1738,22.66117952
2014,Very LOW Volume,Low Engaged,Automotive,6054.41,280.95,462,13.10478355
2016,NEW,Low Engaged,Electronics and Computers,649231.23,20980.69,13260,48.96163122
2017,Inactive Merchant,Merchant,Books,45307.76,1060.76,553,81.93084991
2016,MEDIUM Volume,Casual Buyer,Electronics and Computers,3854273.46,145204.61,75760,50.87478168
2016,HIGH Volume,Casual Buyer,Clothing and Shoes,10888247.13,363911.32,30525,356.6993327
2016,Non Merchant,Casual Buyer,Clothing and Shoes,12788078.52,407182.52,50858,251.4467443
2015,MEDIUM Volume,Very Engaged,Automotive,513047.54,17999.11,9968,51.46945626
2015,Very HIGH Volume,Casual Buyer,Books,162156251.2,4494635.9,1894120,85.61033682
2017,MEDIUM Volume,Merchant,"Toys, Kids and Baby",281683982.7,271136.16,876761,321.2779568
2014,Non Merchant,Guest,"Movies, Music and Games",376001.14,34106.68,23243,16.17696253
2017,Very LOW Volume,Guest,Books,1167973.28,42863.55,27339,42.72187278
2016,Very HIGH Volume,Casual Buyer,Other,8519204.75,275885.85,501613,16.98362034
2014,Very LOW Volume,One-and-Done,Sports and Outdoors,538049.05,17703.15,4320,124.5483912
2014,NEW,One-and-Done,Home and Garden,669950.92,15759.33,8085,82.86344094
2015,HIGH Volume,Merchant,"Toys, Kids and Baby",252576138.3,53611.34,751498,336.0968869
2016,LOW Volume,Medium Engaged,Digital Games and Software,76476919.22,3026201.94,1982905,38.56812062
2016,Non Merchant,Merchant,Digital Games and Software,20479709.02,775060.67,481584,42.52572556
2016,HIGH Volume,Guest,Books,1275464,32956.51,66195,19.2682831
2014,Inactive Merchant,Medium Engaged,"Movies, Music and Games",12791.37,587.37,387,33.05263566
2017,Non Merchant,One-and-Done,Sports and Outdoors,15795662.74,509055.68,63132,250.2005756
2017,Non Merchant,Casual Buyer,"Movies, Music and Games",191111014.9,4362663.16,1124012,170.0257781
2014,Inactive Merchant,Low Engaged,"Movies, Music and Games",28652.88,979.22,528,54.26681818
2015,Very LOW Volume,NEW,Books,4651153.95,189612.89,152267,30.54604051
2016,LOW Volume,Merchant,"Toys, Kids and Baby",57571123.43,240193.9,998421,57.662172
2015,Unverified Merchant,Medium Engaged,Sports and Outdoors,70,2.33,1,70
2014,Inactive Merchant,Merchant,Books,55393.33,1425.68,510,108.6143725
2015,Non Merchant,NEW,Books,326629602,12252717.69,5634047,57.97424161
2014,?,NEW,Digital Games and Software,4638.52,415.02,248,18.70370968
2016,LOW Volume,Guest,Electronics and Computers,67291818.91,2273237.26,1274161,52.81264998
2014,Inactive Merchant,One-and-Done,Sports and Outdoors,5553.75,42.25,49,113.3418367
2017,?,One-and-Done,Digital Games and Software,5803.33,256.96,89,65.20595506
2017,MEDIUM Volume,Super Engaged,Clothing and Shoes,15672227.08,586609.37,91128,171.9803692
2017,Inactive Merchant,Guest,Home and Garden,965.79,53.57,1657,0.5828545564
2014,Very HIGH Volume,Low Engaged,Sports and Outdoors,6103944.57,171316.01,21574,282.930591
2016,Unverified Merchant,Merchant,Books,8779.72,378.37,415,21.15595181
2016,NEW,Guest,Home and Garden,1542810.84,51516.18,22214,69.45218511
2017,LOW Volume,Getting Engaged,Electronics and Computers,2476746.21,96484.68,58475,42.35564275
2016,Very HIGH Volume,Getting Engaged,Sports and Outdoors,7571061.71,235293.1,29951,252.7816003
2017,HIGH Volume,?,Digital Games and Software,230,6.97,1,230
2016,HIGH Volume,Low Engaged,Clothing and Shoes,20078824.59,685707.44,65995,304.2476641
2014,HIGH Volume,Low Engaged,Home and Garden,33944498.36,1014219.8,582766,58.2472182
2016,Very LOW Volume,Low Engaged,Clothing and Shoes,899295.03,31028.04,9683,92.87359599
2015,Very HIGH Volume,Low Engaged,Clothing and Shoes,2636972.45,78665.74,6501,405.6256653
2014,Inactive Merchant,Casual Buyer,Home and Garden,32.79,14.13,38,0.8628947368
2017,HIGH Volume,Guest,Clothing and Shoes,12686423.67,391943.21,35640,355.9602601
2015,HIGH Volume,NEW,"Movies, Music and Games",16252703.14,630307.81,102576,158.4454759
2016,HIGH Volume,Low Engaged,Automotive,2806409.39,91056.64,62554,44.86378793
2014,MEDIUM Volume,Very Engaged,Other,86074.12,2736.59,4956,17.3676594
2015,Non Merchant,One-and-Done,"Movies, Music and Games",40126772.86,1144817.77,250676,160.0742507
2016,Very LOW Volume,Super Engaged,Home and Garden,111752.66,4468.44,20732,5.390346325
2014,Non Merchant,One-and-Done,Books,77808491.94,2558171.33,697105,111.6166029
2015,Very HIGH Volume,Very Engaged,Electronics and Computers,15110785.64,464237.95,325386,46.43956913
2015,MEDIUM Volume,Low Engaged,Home and Garden,22541882.38,807190.4,393319,57.31195894
2017,Inactive Merchant,Low Engaged,Electronics and Computers,400.3,17.34,38,10.53421053
2015,HIGH Volume,One-and-Done,Other,77319.82,2492.08,7811,9.898837537
2017,HIGH Volume,Guest,Electronics and Computers,29523.18,1037.13,6792,4.346757951
2016,Non Merchant,Super Engaged,Automotive,2839044.54,83345.26,58911,48.19209553
2015,MEDIUM Volume,Medium Engaged,Home and Garden,18128761.66,650990.43,317155,57.16057341
2014,Non Merchant,Getting Engaged,Digital Games and Software,16936352.07,653311.66,391331,43.27884085
2014,NEW,One-and-Done,Electronics and Computers,43232.47,1335.57,688,62.83789244
2016,Very LOW Volume,Guest,Digital Games and Software,30190522.01,1073822.22,665438,45.36939882
2014,MEDIUM Volume,NEW,Automotive,32817.71,1215.1,738,44.46844173
2016,Unverified Merchant,Merchant,Clothing and Shoes,75,2.78,2,37.5
2016,HIGH Volume,NEW,Electronics and Computers,9998696.4,351469.43,176822,56.54667632
2014,Inactive Merchant,Guest,Home and Garden,0,0,311812,0
2015,MEDIUM Volume,Casual Buyer,"Movies, Music and Games",41287325.02,1390838.48,174164,237.0600412
2016,Very LOW Volume,Guest,Clothing and Shoes,9554.05,187.31,161,59.34192547
2015,Very HIGH Volume,Very Engaged,"Movies, Music and Games",6446428.9,221774.81,40164,160.5026616
2015,Very LOW Volume,Guest,Electronics and Computers,1787161.18,67293.13,98609,18.12371264
2016,HIGH Volume,Very Engaged,Home and Garden,51348806.73,1643670.14,1016175,50.53146036
2015,LOW Volume,Merchant,Home and Garden,3096535.33,113968.61,53047,58.37342979
2017,Very LOW Volume,Guest,"Movies, Music and Games",44074.93,782.91,1619,27.22355158
2014,HIGH Volume,One-and-Done,Sports and Outdoors,3727079.07,116988.91,11264,330.8841504
2014,MEDIUM Volume,Very Engaged,Clothing and Shoes,8859161.11,317631.75,48333,183.2942526
2017,Non Merchant,Super Engaged,Appstore,538010.14,19088.52,9554,56.3125539
2014,HIGH Volume,Super Engaged,Electronics and Computers,2535603.77,81618.41,41712,60.78835275
2014,HIGH Volume,Low Engaged,Electronics and Computers,9654471.99,310353.84,162309,59.48204961
2016,HIGH Volume,Merchant,Digital Games and Software,175692079.9,6096757.15,2429331,72.3211781
2015,Unverified Merchant,Medium Engaged,Digital Games and Software,-1006.1,9.07,12,-83.84166667
2017,Unverified Merchant,Merchant,Automotive,0,0,1,0
2015,NEW,Merchant,Books,26398016.72,948877.78,404186,65.31155636
2015,Non Merchant,Getting Engaged,Clothing and Shoes,13145181.74,407435.13,60807,216.178758
2016,Inactive Merchant,Guest,Sports and Outdoors,879.75,34.27,68,12.9375
2017,Unverified Merchant,One-and-Done,Books,509.36,22.54,20,25.468
2015,NEW,Super Engaged,Automotive,13664.97,534.08,991,13.78907164
2015,Non Merchant,Low Engaged,Sports and Outdoors,38671834.07,1183178.21,218992,176.590168
2014,HIGH Volume,Guest,Other,339.18,31.62,2318,0.1463244176
2016,Very LOW Volume,Medium Engaged,Books,8867162.58,358695.96,274987,32.24575191
2015,Non Merchant,Very Engaged,Clothing and Shoes,7422086.87,248791.03,48245,153.8415767
2014,Very LOW Volume,Guest,Home and Garden,34.34,14.42,118,0.2910169492
2014,NEW,Medium Engaged,Books,27119039.93,1060521.57,598854,45.28489403
2016,Non Merchant,Guest,Books,1344100.34,35663.58,47550,28.26709443
2015,Unverified Merchant,Very Engaged,Books,14028.78,533.76,543,25.83569061
2017,MEDIUM Volume,Super Engaged,Sports and Outdoors,32808406.64,1242419.53,210189,156.0900268
2017,Very LOW Volume,One-and-Done,"Movies, Music and Games",1576808.11,41690.48,16625,94.8456006
2014,Non Merchant,NEW,"Movies, Music and Games",103758581.9,3273689.16,769654,134.8119829
2015,HIGH Volume,Casual Buyer,Other,505315.07,17549.73,41372,12.21393865
2017,LOW Volume,NEW,Clothing and Shoes,16479400.26,546562.91,67919,242.6331404
2017,Non Merchant,NEW,Automotive,8491061.7,266821.34,179365,47.33956848
2016,Inactive Merchant,Getting Engaged,Digital Games and Software,33391.65,840.22,1311,25.47036613
2014,Very HIGH Volume,Medium Engaged,Home and Garden,132737840.9,2864932.65,1662327,79.8506196
2017,MEDIUM Volume,Casual Buyer,"Movies, Music and Games",50017923.84,1573179.93,190261,262.8911014
2016,HIGH Volume,One-and-Done,Books,84795055.56,2766397.1,944469,89.78066571
2017,Inactive Merchant,Low Engaged,Digital Games and Software,21186.94,846.47,1248,16.97671474
2017,?,Super Engaged,Books,26895.51,1061.45,599,44.90068447
2014,Non Merchant,Medium Engaged,Books,724034840.4,26459690,12567557,57.61142284
2015,HIGH Volume,Merchant,Clothing and Shoes,67184720.89,2006223.13,81464,824.7166956
2017,Inactive Merchant,Merchant,Appstore,0,0,1,0
2014,MEDIUM Volume,Casual Buyer,Automotive,21329.24,690.53,264,80.79257576
2015,Non Merchant,Medium Engaged,Automotive,1768854.05,49814.36,23782,74.3778509
2017,LOW Volume,Casual Buyer,Appstore,70533.77,2865.52,2502,28.19095524
2017,Non Merchant,Super Engaged,Clothing and Shoes,7661226.56,274902.66,57142,134.0734759
2014,Very HIGH Volume,Low Engaged,Other,25517477.05,744994.66,1832898,13.92192967
2016,HIGH Volume,Merchant,"Movies, Music and Games",300787029.3,7533833.98,494144,608.7031904
2014,LOW Volume,NEW,Books,159599343.1,7016698.63,5338276,29.89716962
2017,?,Low Engaged,Digital Games and Software,2159.62,159.31,145,14.89393103
2016,Inactive Merchant,Low Engaged,Electronics and Computers,125.27,6.44,70,1.789571429
2016,?,NEW,Digital Games and Software,11081.56,473.07,288,38.47763889
2015,HIGH Volume,Medium Engaged,Other,1750724.93,64947.29,108960,16.06759297
2016,LOW Volume,Guest,Books,30033056.99,1218853.55,959105,31.3136278
2017,Non Merchant,Guest,Appstore,4884.49,161.82,68,71.83073529
2017,NEW,Very Engaged,Appstore,41060.6,1595.64,1616,25.40878713
2015,Unverified Merchant,Guest,Clothing and Shoes,1511.42,44.13,1,1511.42
